Request no,Day,Time of day,Request location,Initial diagnose time,Needs Replacement?,On-site repair time
50,1,10.06300288,BC_4,15.52430425,,48.92923563
51,1,10.62766494,BC_3,12.57988605,,28.7632932
52,1,10.65869464,BC_8,18.15184882,,27.24603859
53,1,10.68386123,BC_3,25.95455208,,8.982365117
54,1,10.74602092,BC_6,14.27516964,yes,
55,1,10.87687707,BC_9,24.85096196,,49.31651855
56,1,10.94029536,BC_9,27.71755851,,40.04629064
57,1,10.98264346,BC_10,15.405719,,31.40255267
58,1,11.40457966,BC_10,14.55032368,,27.70551247
59,1,11.49226234,BC_4,17.44516957,,22.59186147
60,1,11.51294466,BC_7,18.92447845,,12.35256067
61,1,11.5648084,BC_7,19.04014765,yes,
62,1,11.6076477,BC_2,22.36639406,,0.162057451
63,1,11.77822296,BC_6,15.51287396,yes,
64,1,11.80388893,BC_9,22.8819947,,26.70544813
65,1,12.03935302,BC_10,14.48758793,,24.58790052
66,1,12.04864416,BC_5,14.18586958,yes,
67,1,12.24136653,BC_8,14.51664384,,20.27908724
68,1,12.50587171,BC_5,21.08199018,yes,
69,1,12.68833469,BC_1,16.02225571,,21.62696568
70,1,12.81068324,BC_10,16.27477053,yes,
71,1,12.81684422,BC_2,17.80052731,,19.34925269
72,1,12.85776969,BC_3,23.39240146,,10.05407816
73,1,13.05387283,BC_7,16.94942964,,37.04009833
74,1,13.51058161,BC_2,20.67967001,,4.895849907
75,1,13.74645381,BC_9,32.04713758,yes,
76,1,13.95830549,BC_5,13.32565221,yes,
77,1,14.03171216,BC_5,11.64993427,,26.67648466
78,1,14.04701881,BC_2,21.63557119,yes,
79,1,14.19337777,BC_3,20.03782769,,6.808799685
80,1,14.25372478,BC_4,16.64341317,yes,
81,1,14.42044184,BC_4,19.7472061,,3.84560871
82,1,14.59285818,BC_5,18.79523485,,19.0952129
83,1,14.83725419,BC_9,22.12554243,,5.014708175
84,1,14.83869741,BC_10,20.43532638,,21.88303714
85,1,14.88497675,BC_5,24.96266666,,68.46186751
86,1,14.96301338,BC_10,15.75046558,yes,
87,1,15.07516738,BC_10,18.959468,,3.287059084
88,1,15.20189142,BC_7,16.88171772,,22.01784624
89,1,15.2125389,BC_9,25.22054484,,12.10702184
90,1,15.22217217,BC_4,14.68853562,,25.20608595
91,1,15.31558568,BC_4,15.71895798,,10.43223447
92,1,15.39500611,BC_4,13.23280474,,27.59277508
93,1,15.52539702,BC_9,24.38137138,,1.849773456
94,1,15.68995502,BC_9,22.00582924,,30.70068202
95,1,15.80382311,BC_4,13.34774687,,28.42648102
96,1,16.28286229,BC_3,20.82407929,,10.76202473
97,1,16.35346053,BC_10,14.73482088,,23.48021131
98,1,16.46158637,BC_9,19.68349811,yes,
99,1,16.48968051,BC_4,13.95340998,,11.77375039
100,1,16.55913534,BC_5,11.91007856,,23.39462989
101,1,16.83373852,BC_7,19.79414689,,14.9169074
102,1,17.03118169,BC_2,24.57048269,,10.87750289
103,1,17.03837663,BC_8,14.68229168,yes,
104,1,17.10321552,BC_6,14.81664177,,38.56225873
105,1,17.43606294,BC_9,29.51094814,,10.12876635
106,1,18.07676082,BC_2,15.31379022,yes,
107,1,18.11611651,BC_8,15.12645142,,41.03894717
108,1,18.12247346,BC_3,17.73476343,,9.651981975
109,1,18.2231159,BC_5,16.74697051,,21.31592159
110,1,18.78591867,BC_8,17.02174453,,12.72057575
111,1,19.23406595,BC_7,18.21855305,yes,
112,1,19.43545161,BC_10,16.3498784,yes,
113,1,19.81197665,BC_10,19.40011362,,28.29130765
114,1,20.36036044,BC_8,11.50787956,,11.24829642
115,1,20.41835872,BC_9,27.64349405,,14.70658519
116,1,20.48004164,BC_8,14.30219612,yes,
117,1,20.88360951,BC_9,16.11802009,yes,
118,1,21.21011165,BC_10,18.13113621,,22.74082214
119,1,21.83218461,BC_7,16.43668415,,19.02265038
120,1,22.51589904,BC_6,14.67990743,,18.36888355
121,2,0.444364628,BC_3,21.57753863,,37.49655128
122,2,0.647053051,BC_8,14.47722877,,6.864371903
123,2,0.808928527,BC_9,23.33938226,,12.85253501
124,2,1.122728657,BC_7,18.65590149,,23.46871741
125,2,2.437328711,BC_8,15.45423155,yes,
126,2,3.539510502,BC_9,20.92384846,,9.290815956
127,2,4.018846635,BC_6,14.87926017,yes,
128,2,4.817074069,BC_3,24.88361643,yes,
129,2,4.920635244,BC_7,11.32780248,,11.78224949
130,2,4.975671219,BC_2,27.72967053,,13.65972593
131,2,5.00022226,BC_3,20.86568619,yes,
132,2,5.164658831,BC_9,23.62818365,,34.16677308
133,2,5.61555684,BC_9,11.37166492,,25.96871219
134,2,5.822988516,BC_9,26.68289908,,10.093777
135,2,5.942320899,BC_5,14.94091316,,9.231100335
136,2,6.100495079,BC_10,12.28546146,,18.70431938
137,2,6.397171526,BC_5,18.42957734,,16.34357008
138,2,6.663620154,BC_5,11.07780819,,35.18741708
139,2,6.704685972,BC_2,14.79475138,,27.27063421
140,2,6.867317401,BC_2,21.05991105,,14.51498712
141,2,7.010699306,BC_6,15.30080782,,28.90723039
142,2,7.111526663,BC_9,18.5597061,yes,
143,2,7.303826813,BC_10,11.83854523,,24.39603969
144,2,7.31566001,BC_4,16.36966607,,10.36844083
145,2,7.330534476,BC_4,14.10677711,,22.41597202
146,2,7.496424653,BC_8,18.62894308,,12.78703706
147,2,7.909897582,BC_8,17.02298645,,22.43768063
148,2,7.920567344,BC_9,29.90003376,yes,
149,2,8.029045106,BC_1,8.734280028,,44.02564433
150,2,8.09607393,BC_10,15.3913483,,27.59954747
151,2,8.217208805,BC_9,20.10391349,,15.2168531
152,2,8.533898528,BC_9,21.95599425,,46.42585278
153,2,8.559718956,BC_4,21.59996436,,25.19017222
154,2,8.803524721,BC_6,18.85650696,,20.98194914
155,2,8.878165847,BC_9,24.14907659,yes,
156,2,8.992792958,BC_2,31.56288058,,35.58428782
157,2,9.062964791,BC_8,13.22650635,yes,
158,2,9.282057034,BC_4,20.01322548,,8.952790591
159,2,9.456955129,BC_9,23.95303578,,25.51590798
160,2,9.795711388,BC_9,12.48213964,,15.2059183
161,2,10.12979903,BC_9,17.57276072,,11.40698725
162,2,10.17777473,BC_5,19.21259442,,37.6663689
163,2,10.34068026,BC_4,13.63982241,,39.25073712
164,2,10.34968042,BC_4,15.72707428,,20.6662857
165,2,10.51186556,BC_10,14.63190108,,19.46212289
166,2,10.60784174,BC_9,17.67318835,,6.116033679
167,2,10.75809651,BC_2,13.4673605,,14.57436731
168,2,11.0234835,BC_3,22.69075809,,23.76265376
169,2,11.13018583,BC_5,15.69839693,,45.87548657
170,2,11.27147683,BC_7,17.15913144,,15.0440327
171,2,11.31074502,BC_5,17.12005815,,34.82927827
172,2,11.4069651,BC_10,12.65482682,,9.834780237
173,2,11.64216179,BC_10,12.59739956,,41.02244943
174,2,11.70856487,BC_10,18.85993088,,10.51540037
175,2,11.82900886,BC_9,29.51531346,,4.494566102
176,2,11.83187662,BC_3,21.25744861,,22.45497554
177,2,11.91900668,BC_1,19.35943009,,23.60021733
178,2,12.00000409,BC_8,16.1773814,,32.24813977
179,2,12.00696182,BC_10,18.74191426,,25.9263291
180,2,12.14774224,BC_9,30.94850091,,36.62978757
181,2,12.14855687,BC_7,13.50868129,,20.7787625
182,2,12.47533657,BC_5,19.99784808,,17.48476289
183,2,12.61080246,BC_1,13.64245661,,21.69547344
184,2,12.71256727,BC_7,18.98905996,,16.32439444
185,2,12.83541354,BC_9,28.18295689,,36.1576797
186,2,12.90036078,BC_4,17.72134679,,43.51577508
187,2,12.99467857,BC_10,14.95613153,,9.43208642
188,2,13.11062053,BC_5,19.87188479,,17.41508082
189,2,13.45103343,BC_2,23.36204786,,32.5538338
190,2,14.13987867,BC_2,13.56533674,,33.83475418
191,2,14.27387029,BC_4,17.7272242,,8.078121066
192,2,14.27864001,BC_9,20.49566463,,16.4578013
193,2,15.15326949,BC_6,16.02447004,,24.59752067
194,2,15.20757864,BC_2,34.55288305,,47.97672762
195,2,15.3531524,BC_10,14.71536876,,56.08200015
196,2,15.59882308,BC_7,17.57368312,,1.888578664
197,2,15.64952977,BC_8,15.22243911,,32.22343979
198,2,15.70249177,BC_10,13.27466207,,23.27753341
199,2,15.90879828,BC_3,19.33674393,yes,
200,2,15.98169994,BC_8,15.72362498,yes,
201,2,15.99007049,BC_9,28.85457824,,20.77909024
202,2,16.05718789,BC_2,23.45787043,,22.00727363
203,2,16.20532516,BC_7,17.77810667,yes,
204,2,16.46727271,BC_5,14.79533626,,15.17692095
205,2,16.60505828,BC_7,9.824966071,yes,
206,2,17.02758083,BC_3,22.7504465,,10.39784245
207,2,17.28296011,BC_2,19.73609291,yes,
208,2,17.34320369,BC_10,16.90467763,,24.49585381
209,2,17.57001185,BC_9,34.05006786,,24.19238823
210,2,17.57016144,BC_7,14.32253101,,29.83771991
211,2,18.03654572,BC_5,15.13657569,yes,
212,2,18.37981088,BC_9,15.90945456,,10.50539151
213,2,18.55029513,BC_9,27.90265307,yes,
214,2,19.68073421,BC_5,17.90566703,,33.65488196
215,2,19.73210229,BC_6,14.93776434,,2.323802678
216,2,19.79543686,BC_5,12.68030702,yes,
217,2,19.98293051,BC_5,18.156922,yes,
218,2,20.21148538,BC_4,16.68523895,,12.53297983
219,2,20.37529136,BC_8,15.92537716,,46.30567489
220,2,23.75474289,BC_4,12.92979334,,53.87474616
221,3,0.372918342,BC_10,20.18162888,,19.60392333
222,3,0.916184741,BC_3,24.30007663,,12.91536081
223,3,2.916183915,BC_9,20.78159988,,13.74558627
224,3,3.004265574,BC_9,26.44635103,,34.90296954
225,3,3.060290018,BC_4,15.39649535,,35.94493303
226,3,3.560460435,BC_7,12.39882558,,13.94155573
227,3,3.949324811,BC_8,8.030517471,,31.22028355
228,3,4.785206689,BC_2,17.93679723,,24.2634603
229,3,4.841465651,BC_8,18.24771932,,43.3285229
230,3,5.141592185,BC_9,16.52843333,,18.29847123
231,3,5.441697686,BC_4,19.23403959,,42.1713237
232,3,5.46972562,BC_5,21.81251921,,3.143948258
233,3,5.830783857,BC_6,15.8041436,,16.70658107
234,3,6.162422088,BC_4,17.3713326,,28.36107955
235,3,6.364282834,BC_3,21.37595645,,38.25580527
236,3,6.682493797,BC_4,19.64497684,,10.51344486
237,3,7.044756825,BC_6,13.6121993,,36.83763331
238,3,7.150683621,BC_7,21.04300253,,10.58670606
239,3,7.157039194,BC_7,14.80527302,,13.5257224
240,3,7.161136552,BC_10,17.07229252,,9.127206391
241,3,7.315633499,BC_2,24.58369469,,13.86520942
242,3,7.823743312,BC_3,33.26272715,,18.17921655
243,3,7.844855419,BC_1,14.92411521,,20.19113688
244,3,7.847631757,BC_7,16.50849555,,39.98401374
245,3,7.890854587,BC_10,14.17783435,,19.37411391
246,3,8.058549091,BC_6,20.82202977,,25.59120295
247,3,8.164379514,BC_4,21.22830736,,18.54406543
248,3,8.326296347,BC_10,11.30367384,,18.05546955
249,3,8.525364056,BC_2,20.49373239,,22.93344012
250,3,8.694046814,BC_3,27.79495379,,28.38024754
251,3,8.802613975,BC_9,22.73618079,,25.86028855
252,3,8.953174119,BC_3,26.80555356,,40.51974464
253,3,8.97265142,BC_9,23.33713582,,32.76196335
254,3,9.011069197,BC_6,20.09708279,,55.0251581
255,3,9.030918589,BC_7,18.30972279,,41.89069432
256,3,9.075345302,BC_7,24.59444275,,9.682002386
257,3,9.111242302,BC_6,16.34555898,yes,
258,3,9.240855107,BC_3,25.75118927,,7.544424057
259,3,9.244715491,BC_4,17.46614096,,41.61442834
260,3,9.293952076,BC_2,14.8435363,,25.9451639
261,3,9.321073991,BC_2,21.80792343,,5.289953167
262,3,9.336256479,BC_4,13.07273349,,27.95160737
263,3,9.394080915,BC_6,16.6402983,yes,
264,3,9.620263814,BC_5,13.49888592,,32.14274868
265,3,9.65319378,BC_7,11.89802795,yes,
266,3,9.657741383,BC_7,18.3193961,yes,
267,3,9.764625648,BC_10,11.7097013,,29.38606706
268,3,9.972800426,BC_6,12.38708704,yes,
269,3,10.3810623,BC_5,17.1761845,,13.81436901
270,3,10.41561442,BC_3,20.7468257,,48.32645493
271,3,10.54068087,BC_4,16.94730936,,3.292452621
272,3,10.67826941,BC_5,15.98566991,yes,
273,3,10.72450233,BC_5,19.05827669,,37.85495314
274,3,11.19373317,BC_10,12.02932895,,4.780825747
275,3,11.26707434,BC_5,15.29018937,yes,
276,3,11.51636819,BC_9,26.67255116,,3.664508097
277,3,11.64782439,BC_2,18.68488626,yes,
278,3,11.66644402,BC_10,18.49102265,,6.674315049
279,3,11.67555425,BC_9,19.82575686,,10.39800789
280,3,11.73085375,BC_10,16.29611949,,26.78501286
281,3,11.74312383,BC_9,21.75209111,,7.217938279
282,3,11.80112311,BC_4,11.07089708,,26.24866006
283,3,11.96766795,BC_7,15.35412605,,47.35067284
284,3,11.97184896,BC_2,23.83639071,,33.89754168
285,3,12.11186623,BC_7,15.68559213,,62.66814097
286,3,12.23586912,BC_10,17.03062244,,30.76422157
287,3,12.23946001,BC_9,19.39310925,,25.97672688
288,3,12.30852956,BC_10,18.95342349,yes,
289,3,12.35188038,BC_7,10.99456791,,30.47745392
290,3,12.35637216,BC_7,14.84831426,,6.394685412
291,3,12.35722564,BC_9,30.7633394,yes,
292,3,12.42199082,BC_9,23.00706814,,47.90920121
293,3,12.43578309,BC_5,15.99778405,,30.41374242
294,3,12.44338887,BC_9,28.976408,,9.696701878
295,3,12.56503149,BC_5,12.81615893,,25.39865955
296,3,12.82694497,BC_1,13.37665934,,9.337365961
297,3,12.8445119,BC_1,9.702121591,,30.36938204
298,3,12.87438811,BC_3,23.71907971,yes,
299,3,13.34110276,BC_3,23.44679072,,21.29177651
300,3,13.68749582,BC_3,22.60364256,,18.5436659
301,3,13.70282066,BC_4,14.60743195,,18.92005884
302,3,13.72507781,BC_9,27.63381993,,26.11001121
303,3,13.93655738,BC_9,14.56618898,,33.20925356
304,3,13.97383496,BC_7,15.51403357,,4.319167351
305,3,14.34043878,BC_3,30.97472829,,35.23693959
306,3,14.92907268,BC_9,25.51073313,,32.54289893
307,3,14.93917421,BC_9,18.46636404,,24.34356523
308,3,14.97929889,BC_10,18.80438523,,26.92815294
309,3,15.0314584,BC_4,20.69360411,,29.03527712
310,3,15.2636099,BC_5,14.92465036,,35.54623223
311,3,15.29486469,BC_1,19.40739104,yes,
312,3,15.32409416,BC_9,25.8246947,,25.00170897
313,3,15.45583785,BC_9,26.46608508,yes,
314,3,15.54891914,BC_2,12.86565052,yes,
315,3,15.87932454,BC_5,16.76008521,,6.378259846
316,3,15.89612989,BC_8,18.78512891,yes,
317,3,15.9616238,BC_7,16.47926559,,26.22565815
318,3,16.14404159,BC_7,15.57184691,,13.17138002
319,3,17.00999639,BC_7,19.84529332,,23.23100952
320,3,17.0430059,BC_9,27.2021888,yes,
321,3,17.14750679,BC_7,16.63550424,,5.416083265
322,3,17.32941732,BC_3,22.02489897,,35.99040957
323,3,17.64131138,BC_2,23.46187002,,30.70250495
324,3,17.75734461,BC_2,25.84363754,,32.90222293
325,3,17.91679235,BC_10,14.07863055,,7.216295864
326,3,17.96328238,BC_2,25.57148837,yes,
327,3,18.35261936,BC_2,13.25654122,,46.05406269
328,3,18.40289924,BC_9,16.02460196,yes,
329,3,18.41281161,BC_1,17.47465537,,34.66898858
330,3,18.7765784,BC_9,22.83760366,,24.61670865
331,3,18.81593216,BC_9,27.86720687,,47.77402017
332,3,19.1220002,BC_4,19.22076079,yes,
333,3,19.20117496,BC_5,16.20438783,,53.36439979
334,3,19.21102599,BC_7,21.35650946,,12.54739805
335,3,19.35051192,BC_2,10.02055048,,9.131124731
336,3,19.60848191,BC_10,18.25891769,,13.81346292
337,3,20.39295273,BC_6,17.33132572,yes,
338,3,20.47866139,BC_2,27.702492,,6.229090978
339,3,20.52481351,BC_5,16.50316341,,10.94231308
340,3,20.6995738,BC_4,22.07813091,,31.27696948
341,3,20.8923877,BC_4,21.85473614,,28.91228062
342,3,20.95375206,BC_3,14.09578334,,29.55859198
343,3,21.34520337,BC_10,16.64413512,yes,
344,3,23.41376278,BC_10,18.3530532,,35.66420224
345,3,23.80177724,BC_1,17.7442768,,18.52305335
346,4,0.914314956,BC_4,20.90762378,yes,
347,4,2.659284556,BC_3,23.1250761,,37.80789532
348,4,3.188909201,BC_10,14.04154723,,30.85738152
349,4,3.899108894,BC_8,12.79437261,,13.20536883
350,4,3.901543155,BC_1,14.62963808,yes,
351,4,4.314664555,BC_4,22.04289742,,30.70190021
352,4,4.554767576,BC_9,21.52118162,,31.10620789
353,4,5.437178771,BC_2,31.29292982,,29.67326462
354,4,5.486927248,BC_4,13.89987852,yes,
355,4,5.622490294,BC_1,15.43440667,yes,
356,4,5.695902833,BC_9,29.40474269,,34.66689982
357,4,5.804240374,BC_5,20.19768366,,28.13240538
358,4,6.174451789,BC_9,26.65881174,,37.95000594
359,4,6.424944931,BC_4,15.91436211,yes,
360,4,6.449085096,BC_4,17.24324213,yes,
361,4,7.030564573,BC_10,16.256304,,59.60726859
362,4,7.164204699,BC_5,18.42799898,,9.691140942
363,4,7.240379354,BC_2,30.1456555,,11.58130323
364,4,7.255812753,BC_10,14.66999663,,6.592488975
365,4,7.327369123,BC_10,18.4275097,,34.82080328
366,4,7.854324653,BC_7,16.02732928,,19.03926174
367,4,8.04437002,BC_5,13.18326806,,30.46509951
368,4,8.278170569,BC_2,17.92706123,,24.0917205
369,4,8.653730829,BC_7,21.35046008,,11.02399248
370,4,8.664090951,BC_4,18.98380899,,27.92490728
371,4,8.786294949,BC_5,19.57491674,,23.90763435
372,4,9.175704587,BC_9,12.72995094,,44.87239913
373,4,9.569141787,BC_7,14.95956412,,24.96892836
374,4,9.634978701,BC_10,16.48369266,,10.36799818
375,4,9.797758808,BC_1,11.07145043,,33.36554113
376,4,10.02106483,BC_4,19.47633483,yes,
377,4,10.0216552,BC_9,28.66412329,,15.18939986
378,4,10.10950019,BC_2,18.77723065,,11.32751333
379,4,10.1566551,BC_2,23.16493577,,33.35492213
380,4,10.36119675,BC_2,25.03418332,yes,
381,4,10.38774836,BC_4,18.62159276,,19.15952195
382,4,10.45213568,BC_5,18.36991377,,31.13990731
383,4,10.60348969,BC_2,22.57472339,,25.7085834
384,4,10.62809419,BC_7,18.20118489,,28.63941162
385,4,10.85590327,BC_3,17.81100449,,6.823801385
386,4,10.86490062,BC_7,12.67058285,,16.45699777
387,4,10.93390875,BC_2,19.51940355,yes,
388,4,10.99301313,BC_6,17.61804571,yes,
389,4,11.00889782,BC_7,13.75607173,,26.3729289
390,4,11.32904656,BC_7,16.97152376,,42.10659906
391,4,11.41454719,BC_2,24.7713551,,13.71930797
392,4,11.46404715,BC_5,12.91846748,,42.89535207
393,4,11.62914718,BC_10,15.40502797,,40.57139904
394,4,11.66744448,BC_5,24.28923246,,25.11730557
395,4,11.75542456,BC_9,20.36140139,yes,
396,4,12.06341746,BC_8,14.8681623,,7.444360351
397,4,12.38320344,BC_7,13.81772517,yes,
398,4,12.41180919,BC_3,17.10605232,,31.12983256
399,4,12.66184883,BC_1,17.47677764,,10.92821635
400,4,12.67148386,BC_2,19.28783689,,29.70762171
401,4,12.68425287,BC_3,22.77129736,yes,
402,4,12.90564223,BC_10,16.90533051,yes,
403,4,12.91571976,BC_2,16.41060764,yes,
404,4,13.06468351,BC_3,21.38091585,,11.0364669
405,4,13.09131469,BC_4,20.00105645,,26.17498799
406,4,13.27699533,BC_4,11.96857714,,43.41977682
407,4,13.51814769,BC_10,20.17535055,,31.3645283
408,4,13.60861163,BC_9,19.50200882,,23.86392925
409,4,13.6200982,BC_9,10.47833255,,37.49548783
410,4,14.0353492,BC_9,24.13755605,,7.545262987
411,4,14.05444472,BC_5,14.49633821,,51.40940456
412,4,14.14552588,BC_3,24.01047661,,31.91407136
413,4,14.15682896,BC_5,15.79651698,,15.09029946
414,4,14.1869361,BC_10,19.92218353,,32.49598763
415,4,14.19352621,BC_7,12.24995303,,10.35634527
416,4,14.25097845,BC_10,14.62554391,,24.61471929
417,4,14.35774815,BC_3,18.47068153,,15.52975126
418,4,14.47986581,BC_6,17.4209644,,50.78352721
419,4,14.48606921,BC_8,15.89626864,,8.663049253
420,4,14.49113584,BC_4,16.86193731,,6.538320476
421,4,14.49228038,BC_2,23.37338969,yes,
422,4,14.54397113,BC_4,17.29139338,,10.92766992
423,4,14.7138901,BC_9,17.19657018,,21.50372064
424,4,14.86006116,BC_5,12.86292772,,18.38162945
425,4,14.87558497,BC_9,17.26611928,,28.67540266
426,4,15.16543764,BC_4,16.30497862,yes,
427,4,15.29067283,BC_3,18.07501671,,32.42215032
428,4,15.32475162,BC_3,18.55295018,yes,
429,4,15.80627027,BC_10,9.601029876,,31.30815532
430,4,15.84447469,BC_4,19.77472345,,15.63862329
431,4,15.87588155,BC_2,13.60001695,,17.48772651
432,4,16.44950025,BC_5,15.56432137,,15.10913959
433,4,16.45992868,BC_3,17.93105342,,18.00994455
434,4,16.61506468,BC_4,18.4608222,,12.9921781
435,4,16.61773555,BC_4,20.4417407,,10.49526675
436,4,16.7306572,BC_7,16.27708345,,23.33443145
437,4,16.83896785,BC_10,19.00371967,yes,
438,4,16.94850335,BC_7,15.38285514,yes,
439,4,17.13458136,BC_7,13.73091025,,27.32613923
440,4,17.87628132,BC_4,11.71598161,,18.46360709
441,4,18.1415187,BC_9,26.18238984,,13.50046825
442,4,18.17709463,BC_10,12.85424505,yes,
443,4,18.2560858,BC_3,35.37864613,,18.0730273
444,4,18.26292778,BC_5,16.42783199,yes,
445,4,18.75190052,BC_5,9.062315887,,11.20549703
446,4,18.81046177,BC_2,28.70621683,,33.93616973
447,4,18.90631301,BC_4,12.28075221,,20.78136513
448,4,18.90877852,BC_5,14.77398566,,13.74829848
449,4,18.99197775,BC_3,26.69014327,,13.33811478
450,4,19.22543591,BC_4,18.34067435,yes,
451,4,19.27522573,BC_8,15.90008215,,33.18213134
452,4,19.51226751,BC_1,19.07528067,,20.57653523
453,4,19.69833418,BC_2,30.87891411,,8.449467053
454,4,20.30650384,BC_7,19.18695755,,15.40465364
455,4,20.72904448,BC_4,14.8428689,,23.38365314
456,4,20.8799681,BC_9,24.70673059,,24.13576527
457,4,20.95455451,BC_7,21.17859073,,15.95953591
458,4,20.964811,BC_3,18.98469012,,13.85082354
459,4,21.2039676,BC_9,20.54506767,yes,
460,4,21.2078356,BC_6,15.88926822,yes,
461,4,21.31003661,BC_2,20.1470325,,17.74757824
462,4,21.31777668,BC_9,24.21089505,,30.78826073
463,4,22.06789463,BC_7,17.37176018,yes,
464,4,23.57892086,BC_10,18.94797702,,20.56360064
465,5,0.478112121,BC_10,15.61600423,,36.51528303
466,5,2.893653675,BC_5,17.89004342,,26.41805298
467,5,2.968247615,BC_4,14.8930723,,43.33996699
468,5,3.937186041,BC_5,16.18898045,,34.82611489
469,5,4.003384503,BC_5,16.07253337,yes,
470,5,4.008633374,BC_7,13.81618347,yes,
471,5,4.014410166,BC_9,26.53803632,,14.15944458
472,5,4.220612303,BC_9,17.77850897,yes,
473,5,4.330236646,BC_7,17.94246796,,17.15662236
474,5,4.389688786,BC_2,14.6966372,,43.11314486
475,5,4.827510957,BC_1,15.56511919,,10.69088246
476,5,4.849589634,BC_8,15.35885384,yes,
477,5,4.972882931,BC_6,17.59476001,,38.47866651
478,5,5.006728968,BC_5,16.14952996,,19.19010669
479,5,5.164293727,BC_3,19.26861003,,16.1064069
480,5,5.30555009,BC_10,14.09210329,yes,
481,5,5.317510877,BC_5,14.78373375,,22.1373012
482,5,5.362892161,BC_6,13.89874655,,31.1090741
483,5,5.648936122,BC_3,21.31718485,,19.5699889
484,5,5.751938006,BC_5,19.29939491,,24.3208062
485,5,5.799077777,BC_7,19.30454115,yes,
486,5,5.84468606,BC_7,15.22493903,,31.67852296
487,5,6.043360861,BC_4,14.34357754,,12.53239318
488,5,6.179490587,BC_4,17.01699965,,25.49949988
489,5,6.223127915,BC_7,16.91105322,yes,
490,5,6.351001642,BC_4,11.08739354,,50.39664227
491,5,6.431313472,BC_5,15.55953099,,61.07234503
492,5,6.583303537,BC_10,17.12872314,,18.58853995
493,5,6.689623034,BC_5,15.96998426,,23.12919241
494,5,6.789174093,BC_10,13.70982322,,23.01911415
495,5,6.891416301,BC_4,13.74498911,yes,
496,5,6.928399069,BC_4,22.59870719,,19.65544644
497,5,7.38834373,BC_8,17.63904109,,39.34792504
498,5,7.451526656,BC_1,13.17779218,,21.87842129
499,5,7.528617603,BC_7,20.66808492,yes,
500,5,7.590509725,BC_6,16.50689436,,19.9932353
501,5,7.731952048,BC_2,22.18225314,,14.95073656
502,5,7.770060087,BC_5,13.93445154,,28.40461131
503,5,8.049387375,BC_4,15.04855701,,24.43780768
504,5,8.097580108,BC_3,19.47820107,,17.5302446
505,5,8.427394484,BC_6,15.7899771,,33.23483767
506,5,8.431063221,BC_1,12.40324545,yes,
507,5,8.522631985,BC_7,19.86717711,yes,
508,5,8.768364369,BC_4,20.7222052,,20.53731525
